Filesystem            Size    Used   Avail Capacity iused ifree %iused  Mount...
/dev/disk3s1s1       926Gi    12Gi   663Gi     2%    459k  4.3G    0%   /
devfs                205Ki   205Ki     0Bi   100%     708     0  100%   /dev
/dev/disk3s6         926Gi    20Ki   663Gi     1%       0  7.0G    0%   /Syst...
/dev/disk3s2         926Gi    10Gi   663Gi     2%    2.1k  7.0G    0%   /Syst...
/dev/disk3s4         926Gi   3.3Mi   663Gi     1%      65  7.0G    0%   /Syst...
/dev/disk1s2         550Mi   6.0Mi   531Mi     2%       1  5.4M    0%   /Syst...
/dev/disk1s1         550Mi   5.9Mi   531Mi     2%      39  5.4M    0%   /Syst...
/dev/disk1s3         550Mi   2.7Mi   531Mi     1%     110  5.4M    0%   /Syst...
/dev/disk3s5         926Gi   238Gi   663Gi    27%    3.4M  7.0G    0%   /Syst...
map auto_home          0Bi     0Bi     0Bi   100%       0     0     -   /Syst...
OrbStack:/OrbStack   640Gi    10Gi   630Gi     2%       0     0     -   /User...
